ulasan,label
update nilai nya siakad online masuk aplikasi siakad ini tolong ppti unesa baik aplikasi nya bareng update nilai siakad online aplikasi siakad terima kasih nanti bintang kalo udah baik sistem nya hehe,Kurang
relate yg wab server down maintenance yg dong tambah kek servernya,Kurang
log in sso web bisa tp masuk apk email sso sedia pdhl web akses loh,Kurang
pas buka mucul udh tunggu jam muncul hitam trus,Kurang
kembang apklikasi ios nya,Kurang
nilai aplikasi muncul web,Kurang
email daftar sso unesa,Kurang
ipk cantum aplikasi beda cantum web kecewa,Kurang
app nya gak buka,Kurang
aplikasi guna,Kurang
rip guna ios iphone ,Kurang
udah bagus fiturnya tolong tambah cetak kartu uji opsi,Baik
saran saya jadwal kuliah alarm ingat 30 menit kuliah mulai,Baik
bagus mulus smooth lengkap mudah akses,Baik
aplikasi ini bantu jatah mbolos habis v,Baik
semester ipk gercep langsung beres masalah,Baik
mudah akses siakad,Baik
mantapp mudah akses siakadu,Baik
mantap smooth tahan,Baik
aplikasi guna terimakasih aplikasi untuk kamsamida,Baik
mantaapp nih apk nya bikin semangat kuliah,Baik
mantap mudah mahasiswa efisien,Baik
bagus tp mohon didevelop ios ya ,Baik
mantap mudah akses,Baik
lulus min  jaya unesakuuu,Baik
bantu mahasiswa,Baik
tunggu fitur baru,Baik
update ya min,Baik
alhamdulillah keren unesa jaya,Baik
bantu,Baik
bantu,Baik
bantu,Baik
salam hormat pptikeren ,Baik
kayak kuliah beneran yeee,Baik
ipk bagus aamiin,Baik
guna,Baik
moga,Baik
jabat ketua ukm,Baik
ayooooo ojo lot,Baik
mantap unesa jaya,Baik
bagus banget,Baik
mantabs,Baik
mantab,Baik
,Baik
baik,Baik
assalamuallaikum,Baik
lumayan,Baik
good,Baik
iye,Baik
sopo sing bintang iku woi ah kemal gaes,Baik
bagus,Baik
bagus,Baik
good ,Baik
keren,Baik
mantab,Baik
good,Baik
nice,Baik
mantappp,Baik
good,Baik
,Baik
minim fitur fitur dasar ganti background dar atur brightest mirror ada aplikasi belah mending bgt,Kurang
parah fitur rekam virtual meetingnya ada rekam pake aplikasi bawa hp laptop hasil bisu,Kurang
fitur backgroundnya filter,Kurang
nih kamera gelap udh aktifin fitur suka mati,Kurang
update palsu koq biss masuk google play store ya bahasa aja aneh,Kurang
microphone nya mati wa bener,Kurang
aplikasi jelek gak suara,Kurang
trouble  gak bs pakai ud update,Kurang
ga  ga lolos interview kerja gara gara,Kurang
banget tiba2 detik join share screen video suara video gak kedengeran unikanya suara video aja gak kedengeran volume full banget delay sinyal bagus,Kurang
masalah presentasi masalah sinyal bagus lep-lepan terus presentasi enak pakai zoom sinyal stabil presentasi mudah juga gak ribet presentnya pake your entire screen a window a tab,Kurang
update aplikasi nya ga nyaman lebih aplikasi nya nyesel baru mode handphone presentasi layar nya tutup guna lain tambah pas notif masuk room sangat ganggu on cam on mic susah rejoin meet aja aplikasi baru bisa beda banget yg nya tolong baik aplikasi nya nya verry disappointed,Kurang
kualitas gambar jelek suka down sinyal bagus on camera on mic susah banget suka lot hp si lumayan tp pc down banget sumpah pas share screen gue kalo kuliah banget meet asli bikin emosi,Kurang
buruk video kadang putus sendiri jaring lancar kadang meeting ingat aplikasi mode jendela apung aplikasi paksa suara distorsi perangkat yg aplikasi alam aplikasi sangat buruk mohon baik,Kurang
tolong apknya baik kak keluh dengar presentasi suka tiba2 sendiri menganggu sekali akibat tinggal materi kuliah trimakasih moga manfaat,Kurang
guna setia google meet keluh kait bug google meet muncul aplikasi jalan sempurna alami baik update tambah teruta suara video putar video presentasi tolong baik penting muka wajah serta,Kurang
anjg ya download 3 kali dr 0 trs alas mulu simpan penuh dah hapus app tinggal lanjut yg ggal kn cache ,Kurang
