ulasan,label
"Update nilai nya lebih dahulu di siakad online baru beberapa hari kemudian masuk di aplikasi siakad ini, tolong PPTI Unesa diperbaiki lagi untuk aplikasi nya supaya dapat barengan update nilai di siakad online maupun di aplikasi siakad. Terima Kasih *nanti dibintang Baik lagi kok kalo udah diperbaiki sistem nya hehe",Kurang
"Kurang relate sama yg di wab, server sering down, maintenance yg baik dong, kalau perlu ditambah kek servernya.",Kurang
"Log in sso di web bisa. Tp begitu masuk apk,email sso katanya tidak tersedia. Pdhl di web bisa akses loh..",Kurang
Pas dibuka tidak mucul udh ditunggu beberapa jam munculnya hitam trus,Kurang
Segera dikembangkan juga apklikasi untuk IOS nya,Kurang
Mengapa nilai saya di aplikasi tidak muncul tetapi di web bisa,Kurang
Mengapa email saya tidak terdaftar di SSO unesa..,Kurang
Mengapa ipk saya yang tercantum di aplikasi berbeda dengan yang tercantum di web? Saya kecewa,Kurang
App nya gak bisa di buka,Kurang
aplikasi tidak berguna.,Kurang
RIP PENGGUNA IOS IPHONE :(,Kurang
"Udah bagus, fiturnya tolong ditambahkan, seperti cetak kartu ujian dan opsi lainnya",Baik
"Saran saya. Saat jadwal perkuliahan, ditambahkan alarm peringatan 30 menit sebelum perkuliahan dimulai.",Baik
Bagus.... Mulus dan smooth. Lengkap dan mempermudah mengakses,Baik
"Dengan adanya aplikasi ini, sangat membantu sekali terutama untuk mengetahui jatah mbolos apakah sudah habis atau tidak :v",Baik
saya semester Kurang tapi kok sudah ada ipk wah gercep sekali langsung beres masalahnya..,Baik
Jauh lebih mudah dalam mengakses siakad,Baik
"Mantapp, lebih mudah untuk mengakses siakadu",Baik
"Mantap, Smooth, Pertahankan⭐⭐⭐⭐⭐",Baik
Wah ini aplikasi sangat berguna sekali terimakasih ibu sudah memberikan aplikasi ini untukku kamsamida,Baik
Mantaapp nih apk nya bikin kita jadi lebih semangat kuliah,Baik
Mantap memudahkan mahasiswa menjadi efisien,Baik
Sudah bagus tp mohon didevelop buat Ios ya 😂🙏🏼,Baik
Mantap mudah diakses,Baik
Kenapa baru ada ketika saya sudah lulus min? 😆 jaya selalu unesakuuu❤️❤️,Baik
Sangat membantu mahasiswa,Baik
Ditunggu fitur terbarunya,Baik
Di update terus ya min,Baik
Alhamdulillah keren UNESA JAYA,Baik
Sangat membantu,Baik
Sangat membantu,Baik
Sangat membantu,Baik
Salam hormat dari saya #pptikeren ..😅,Baik
Kayak kuliah beneran yeee,Baik
IPK bagus aamiin....🤲🏻,Baik
Berguna sekali,Baik
Semoga lebih baik,Baik
Saya pernah menjabat sebagai ketua UKM,Baik
Ayooooo Ojo lemot,Baik
Mantap UNESA JAYA,Baik
bagus banget,Baik
Mantabs..,Baik
Mantab,Baik
Baik,Baik
Terbaik,Baik
Assalamuallaikum,Baik
Lumayan,Baik
Good,Baik
Iye,Baik
"Sopo sing bintang Kurang iku woi, ah kemalan gaes",Baik
bagus,Baik
Bagus,Baik
Good 👌,Baik
Keren,Baik
Mantab,Baik
Good,Baik
nice,Baik
Mantappp,Baik
Good,Baik
⭐⭐⭐⭐⭐,Baik
"Minim fitur, bahkan fitur dasar seperti ganti background ataupun sekedar atur brightest, mirror tidak ada. Aplikasi sebelah lebih mending bgt",Kurang
"Sangat parah, fitur perekaman saat virtual meetingnya berlangsung sekarang tidak ada. Dan kalau direkam pake aplikasi bawaan hp atau laptop hasilnya jadi bisu.",Kurang
Tidak ada fitur backgroundnya sama filter,Kurang
apaan nih kamera gelap udh aktifin fitur malah suka mati sendiri,Kurang
"Ini update palsu,koq biss masuk ke google play store ya?bahasanya aja aneh",Kurang
microphone nya sering mati sendiri padahal di wa bener,Kurang
Aplikasinya jelek gak ada suaranya,Kurang
"Trouble , gak bs dipakai padahal ud update...",Kurang
Ga jelas . Ga lolos interview kerja gara gara keluar sendiri terus,Kurang
"Sering banget tiba2 keluar padahal baru beberapa detik join. Ketika share screen sebuah video, suara videonya gak kedengeran, unikanya hanya suara videonya aja yang gak kedengeran, tapi volume sudah full. Sering banget delay tapi sinyal dalam keadaan bagus",Kurang
"Terlalu banyak masalah. Presentasi bermasalah, padahal sinyal bagus tapi lep-lepan terus. Kalau presentasi lebih enak pakai zoom karena sinyal lebih stabil dan presentasi lebih mudah juga, gak ribet masalah presentnya harus pake your entire screen, a window, atau a tab",Kurang
"Setelah di update aplikasi nya jadi sangat ga nyaman,lebih baik aplikasi sebelum nya,nyesel di perbarui.. Terutama untuk mode handphone. Untuk presentasi saja layar nya menjadi kecil dan tertutup oleh pengguna lain,ditambah pas ada notif yang masuk dan keluar room,sangat mengganggu. Untuk on cam/on mic jadi susah. Mau rejoin meet aja di aplikasi yang diperbarui tidak bisa,beda banget sama yg sebelum nya Tolong diperbaiki lagi aplikasi nya ke seperti sebelum nya! Verry disappointed",Kurang
"Kualitas gambar jelek, suka down juga padahal sinyal bagus. Kalau mau on camera atau on mic susah banget suka lemot. Di hp si lumayan, tp di PC down banget sumpah. Terutama pas mau share screen. Gue kalo lagi kuliah sering banget keluar sendiri meet asli bikin emosi.",Kurang
"Sangat buruk, video kadang terputus sendiri, meskipun jaringan lancar kadang kala keluar meeting tanpa peringatan, ketika ada aplikasi dalam mode jendela apung maka akan keluar aplikasi secara paksa, dan suara agak terdistorsi. Saya tidak tahu apakah karena perangkat yg saya gunakan atau aplikasinya sendiri namun pengalaman saya terhadap aplikasi ini sangat² buruk. Mohon perbaikannya.....",Kurang
"Tolong apknya diperbaiki lagi kak, keluhan saya ketika lagi mendengarkan presentasi suka tiba2 keluar sendiri, ini sangat menganggu sekali, Akibatnya saya menjadi ketinggalan materi perkuliahan. Trimakasih semoga bermanfaat",Kurang
"Sebagai pengguna setia google meet saya ingin menyampaikan keluhan saya terkait bug yang terjadi di google meet, dulu ketika pertama awal munculnya aplikasi ini semua berjalan sempurna, tetapi ketika makin lama mengalami perbaikan dan update semua makin bertambah banyak masalahnya teruta pada Suara video tidak ada saat memutar video ketika presentasi, tolong diperbaiki hal ini karena sangat penting. Untuk antar muka, untuk melihat wajah peserta banyak yang tidak kelihatan",Kurang
"Anjg ya harus download 3 kali, dimulai dr 0 trs, alasan mulu penyimpanan penuh. Dah hapus app lain setidaknya tinggal lanjutkan. Yg ggal kn juga jadi cache 😡",Kurang
"Untuk pihak Google tolong! Disaat saya share screen dalam bentuk video suara videonya tidak kedengaran oleh peserta. Untuk itu saya mohon tolong update dan tambahkan fitur tersebut, walaupun itu sepele tapi menurut saya kalau ada fitur tersebut akan memudah kan orang",Kurang
Gak bisa di uninstal/hapus apk nya,Kurang
"Tolong diperbaiki bugnya dan tolong pada saat buka kamera untuk video cell ukuran gambarnya terlalu kecil disebelah pojok kanan bawah itu tidak bisa di perbesar/zoom atau diperkecil/un zoom. Lebih baik seperti versi yang lama saja tidak perlu memperkecil pada kamera untuk video cell tersebut. Sehingga pengguna yang menggunakan handphone lebih nyaman bisa di zoom dan di un zoom. Supaya pengguna handphone gmeet ini tidak ganti pihak lain, itu saja terima kasih",Kurang
"Waktu pertama kali pake malah ga bisa muncul videonya. Jadi saya cuman bisa on microphone doang. Terus kalo klik link yg dibagikan, sering keluar sendiri. Malah harus dari apknya terus ketik link. Lumayan agak repot. Yg bikin kesel tuh suka keluar sendiri, dan pas mau masuk lagi lama bgt. Pdhl jaringan bagus.. Jadinya saya ketinggalan materi. Tolong perbaikiiiiiii lebih baik lagi..",Kurang
"Update terbaru membuat aplikasi ini semakin buruk. Tampilan baru hanya memungkinkan kita untuk melihat 2-3 orang saja, sementara sisanya tidak bisa kita cek. Tampilan lama lebih mudah dan nyaman, karena bisa melihat semua orang yang oncam. Untuk yang mengalami permasalahan yang sama, saya sarankan untuk mencari saja versi 43.Baik yang masih memiliki tampilan lama.",Kurang
Kenapa skrng google meet tidak bisa mendengarkan suara pembicara yaa. Mohon responnya. Karena mnurut saya apk ini sudah bagus. Tapi akhir2 ini sering terjadi error. Tiba2 keluar sndiri dari aplikasi dan tidak bisa mndngarkan suara pembicara.,Kurang
Aneh banget. Gabisa liat member yang lain kalo lewat hp cuman bisa 6 orang doang yg tampil kelihatan. Audio untuk menampilkan lagu lewat folder file malah gabisa di komputer padahal sudah di setting. Jadi harus lewat youtube baru bisa. Payah dehh🥱,Kurang
"3 kali ujian akhir pake gmeet, malah berasa sial terus. Beeberapa menit awal masih bagus, pas udah beberapa menit malah suka jadi nglag padahal sinyalnya bagus kuota juga ada. Terus sinyalnya suka ngilang-ngilang kalo pake apk ini, tapi pake zoom normal kaya biasa. Terus sering keluar tiba-tiba. Kan kesel, mana ini ujian akhir buat dapet gelar lagi, bukan uts atau uas :(",Kurang
"Jangan ribet dong, bagus model yang sebelumnya. Kalau dibuat full screen kenapa nggak bisa digeser tampilan milik kitanya, jadi ketutupan presentasinya. Tolong dimengerti dan dipermudah, terima kasih.",Kurang
"Rekaman virtualnya kemana ? Premium sudah bayar, kenapa tidak ada rekaman virtualnya ?",Kurang
Sangat parah tolong diperbaiki lagi dan buatkan aktivitas di aplikasi google meet di tambahan menu akun,Kurang
Kenapa gmeet yang sekarang ribet sekali ketika sudah masuk pada saat meeting malah keluar sendiri trus diminta penilaian tentang aplikasi nya belum lagi saat ingin bergabung malah di bilang gagal bergabung dalam rapat belum lagi fiturnya yg berwarna gelap pun menjadi sangat mengganggu dan tidak bisa melihat presentasi dari pembuat rapat. Trus Kurang lagi kenapa suara nya putus padahal jaringan saya lancar 4G ko. Tpi knapa bgini! Mohon diperbaiki lagi ya,Kurang
"Maaf sebenernya aplikasinya bagus, simpel, tapi kenapa sering keluar keluar sendiri gitu padahal jaringan saya bagus, hp normal loh. Dan mau masuk meeting lagi nggak terhubung. Dan akhirnya sampai kelas selesai pun, nggak bisa connect. Mohon diperbaiki..",Kurang
"Ini setelah update malah jadi gak nyaman di pakai meet nya malah enakan yang versi sebelumnya apalagi kalau di hp mode horizontal gak enak banget masa gak bisa full screen sih buat presentasi nya, kdang bisa jadi besar kecil, apalagi pas ada notif pemberitahuan yang baru masuk dan keluar room malah mengganggu banget susah mau tekan on cam on mic... Tolong diperbaiki lagi dong! Apa apaan Cuba malah makin jelek Gua kasih bintang satu sebelum kalau masih gak diperbaiki",Kurang
"Kalau bisa, untuk yang menjadi host atau sumber, supaya bisa yang ditampilkan adalah layar yang besar, tidak menjadi gambar-gambar kecil. Dan sayangnya fiturnya otomatis seperti itu dan tidak bisa dirubah. Tolong kembali ke google meet versi sebelumnya saja, yang tampilannya lebih baik",Kurang
"App versi sekarang sangat jelekkk!!!! G-meet nya keluar sendiri!! Suaranya gak jelas terputus putus, buram, kadang gak ada camera dari yang presentasi. Padahal sinyal bagus. Tolong ya perbaiki lagiiiiiii",Kurang
"Kalau bisa window camera dihilangkan pada saat full screen presentasi, karena sangat mengganggu tampilan, dan menutup tulisan presentasi. Dan tidak semua peserta menghidupkan kameranya, jadi tidak perlu ada window camera peserta pada saat full screen presentasi",Kurang
"Ga ada bintang, gak layak, perlu 2jam lebih dengan koneksi cepat hanya utk membuka aplikasi, ram 4gb masih kurang, sampe penyimpanan tak kosongi sampe Kurang0gb tetp gak jalan, pindah ke laptop, sama aja butuh 2jam Parah dari pada aplikasi sebelah yg di hack ntuh",Kurang
"Ya ampun, ada apa dengan google meet?!! Saya gak bisa masuk room terus. Sekalinya masuk ngefreeze, tiba2 lancara lagi tp kemudian ngefreeze lagi. Saya coba keluar dan masuk lagi malah jd blackscreen. Mohon untuk perbaikannya!",Kurang
Suara saya tidak terdengar saat zoom meet dihandphone orang lain,Kurang
"buruk, tidak bisa digunakan dengan baik semenjak duo menjadi google meet. sulit",Kurang
"Tolong tambahkan fitur atur resolusi video dari minimal hingga maksimal,tolong tambahkan pemberitahuan kalau jaringan saya jelek atau bagus biartau jaringan saya bagus atau jelek,tolong perbaiki spekernya suaranya sering patah² dan deley,tolong tambahkan fitur mute supaya suara yg disekitar saya tidak bisa masuk atau terekam kedalam video,tolong tambahkan fitur berbagi file video maupun foto yg dapat diunduh langsung oleh peserta meet saat meet berlangsung",Kurang
